Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria
PT Ferry Jaya Konstruksi,Teknik Arsitektur,Denpasar,Negosiasi,Kontrak,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Desain & Arsitektur', 'Arsitektur']"
ASC Course,Guru Pendamping Khusus,Medan,Rp 3 – 4 Juta,Freelance,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Khusus']"
PT. Matra Daya Rajasa,Surveyor Otomotif,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Sains & Teknologi', 'Petugas Survey']"
PT. DIAMOND PRIMA JAYA,Admin Online Shop,Jakarta Utara,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'E-Commerce & Marketplace']"
Mandarin Code,Guru Mandarin,Kabupaten Tangerang,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']"
PT. DIAMOND PRIMA JAYA,Sales Representative Produk ATK,Jakarta Utara,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
Sukses Abadi School,Wali Kelas SD,Jakarta Utara,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Dasar']"
RUGONAL,Sales Marketing Manager,Jakarta Utara,Rp 10 – 12 Juta,Full Time,Sarjana / S1,6-10 Tahun,"['Manager / Assistant Manager', 'Sales / Penjualan', 'Manajemen Penjualan']"
PT. MANGGALA UTAMA LOGISTIK,Admin Logistik,Makassar,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Transportasi & Logistik', 'Supply Chain & Distribusi']"
RUGONAL,Sales Marketing,Jakarta Utara,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']"
KianPhotomorphosis,Foto Editor,Jakarta Utara,Rp 3 – 4 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Seni, Media, & Kreatif', 'Multimedia Editor']"
Trex Yam,Kasir,Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Ritel', 'Asisten Ritel']"
PT Prisma Karya Utama,Staff Akuntansi Pajak,Bandung Kota,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Perpajakan']"
PT Silkar National Cab Balaraja,Site Drafter,Kabupaten Tangerang,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Desain & Arsitektur', 'Drafter Arsitektur']"
PT. Viper World Trade,Apoteker,Tangerang,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Kesehatan & Medis', 'Apoteker & Farmasi']"
Bandung Raya Motor,Mekanik,Bandung Kota,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Junior / Entry Level', 'Teknik', 'Teknik Otomotif']"
Tunas Daihatsu Balaraja,Marketing,Kabupaten Tangerang,Negosiasi,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Ritel', 'Asisten Ritel']"
PT. Mutia Culinary Concepts,Web Developer Officer,Medan,Rp 3 – 4 Juta,Kontrak,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'IT / Information Technology', 'Programmer / Software Development']"
PT. Mutia Culinary Concepts,Teknisi (Kitchen Equipment),Medan,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Teknik', 'Teknik Elektro / Elektronika']"
PT. Graha Safa Perkasa,General Admin,Pasuruan,Rp 2 – 3 Juta,Kontrak,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Administrasi', 'Staf Admin']"
CV. Sinaria Harapan,Sales Marketing Senior,Bandung Kabupaten,Rp 3 – 4 Juta,Part Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', '6-10 Tahun', 'Supervisor / Coordinator', 'Ritel', 'Asisten Ritel']"
Bimbel JE.Co Cabang Brontokusuman,Tentor Bahasa Inggris,Yogyakarta,Negosiasi,Freelance,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']"
Bimbel JE.Co Cabang Brontokusuman,Tentor Bahasa Indonesia,Yogyakarta,Negosiasi,Freelance,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']"
PT Bahana Samudra Kreasindo,Staff Marketing,Jakarta Utara,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']"
PT VALAR TRUK SOLUSI,Staff Accounting,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']"
Bimbel JE.Co Cabang Brontokusuman,Tentor Matematika,Yogyakarta,Negosiasi,Freelance,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']"
CV Sweda Gembira,Content Creator,Yogyakarta,Rp 2 – 3 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Marketing / Pemasaran', 'Content Marketing']"
Royal Stone Jakarta,Staff Admin Marketing,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']"
PT. Power Pack Industrial Solution,Administrasi Produksi,Gresik,Rp 4 – 5 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']"
Royal Stone Jakarta,Area Sales Officer,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
Guapatlu Bakmi,Koki,Jakarta Utara,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Restaurant', 'Koki / Chef']"
Harapan Mulia Preschool,Teacher Homeroom,Bekasi,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Fresh Graduate', 'Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Usia Dini']"
CV. Sinaria Harapan,Marketing / Sales Minuman,Bandung Kabupaten,Negosiasi,Part Time,SMA / SMK / STM,,"['Fresh Graduate', 'Junior / Entry Level', 'Ritel', 'Asisten Ritel']"
PT. Tirta Bahtera Sejahtera,Staff Accounting,Tangerang,Rp 4 – 5 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['6-10 Tahun', 'Staff / Officer', 'Akuntansi', 'Akuntansi Finansial']"
PT ANEKA MAS MOTOR,Staff Accounting,Jakarta Utara,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Akuntansi', 'Akuntansi Finansial']"
PT. Power Pack Industrial Solution,Teknisi Maintenance (Listrik),Gresik,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Teknik', 'Teknik Elektro / Elektronika']"
CV Sweda Gembira,Graphic Designer,Yogyakarta,Rp 2 – 3 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']"
Mitrasindo Printing,Staff Packing,Jakarta Utara,Negosiasi,Part Time,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Transportasi & Logistik', 'Packing']"
PT. Power Pack Industrial Solution,Admin Accounting,Surabaya,Rp 4 – 5 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Master / S2', '3-5 Tahun', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']"
PT. ERA BANGUNAN,Kasir,Jakarta Pusat,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Ritel', 'Asisten Ritel']"
PT. Synergy Worldwide Indonesia,Office Girl,Jakarta Selatan,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Keterampilan & Jasa', 'Kebersihan & Bantuan Operasional']"
PT Tricipta Agung Sejahtera,Sales B2B,Surabaya,Rp 3 – 4 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
PT Home Faucets Indonesia,Sales Manager,Mojokerto,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Manager / Assistant Manager', 'Sales / Penjualan', 'Konsultan Penjualan']"
PT Wadah Arta Agung,SPV Sales (Property),Cikarang,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Fresh Graduate', 'Supervisor / Coordinator', 'Properti & Real Estate', 'Penjualan Rumah']"
Braincode Sinergi Nusantara,Flutter Mobile Developer,Remote,Rp 3 – 4 Juta,Part Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'IT / Information Technology', 'Programmer / Software Development']"
PT Guoyu Feng Indonesia,Host Live Streaming,Tangerang Selatan,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'E-Commerce & Marketplace']"
Royal Stone Jakarta,Chief Marketing Communication Officer,Jakarta Pusat,Rp 4 – 5 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Public Relation / Humas']"
PT.TRIWIJAYA GEMALESTARI,Staff Adiminstrasi,Surabaya,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Administrasi', 'Staf Admin']"
PT Agrowisata Magnet Rezeki,Marketing Inhouse,Bogor,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Properti & Real Estate', 'Penjualan Rumah']"
PT Wadah Arta Agung,Sales Property,Cikarang,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Properti & Real Estate', 'Penjualan Rumah']"
PT. Bangun Usaha Mulia,Host Video,Depok,Negosiasi,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Junior / Entry Level', 'Sales / Penjualan', 'E-Commerce & Marketplace']"
PT MAZMUR ALAM SEMESTA,Technical Marketing,Bekasi,Rp 5 – 6 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['Staff / Officer', 'Marketing / Pemasaran', 'Riset & Analisis Pasar']"
PT Tricipta Agung Sejahtera,Sales B2B,Jakarta Barat,Rp 3 – 4 Juta,Kontrak,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
