Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria
PT. GRAHA AUTO PERKASA,Digital Marketing,Batam,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Content Marketing']"
PT. INDOSTAR SECURITY,Senior Sales Engineer,Jakarta Utara,Rp 6 – 7 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', '6-10 Tahun', 'Supervisor / Coordinator', 'Sales / Penjualan', 'Konsultan Penjualan']"
PT ATHIF BERKAH INDONESIA,Staff Kemitraan,Banjarmasin,Rp 2 – 3 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Layanan Pelanggan', 'Customer Relation']"
Toko Aluminium dan Kaca GSM Aluminium,Helper Tukang Aluminium,Depok,Negosiasi,Full Time,SMA / SMK / STM,,"['Fresh Graduate', 'Staff / Officer', 'Keterampilan & Jasa', 'Pekerja Konstruksi & Tukang']"
RUGONAL,Staff Administration,Jakarta Utara,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']"
PT. Bintang Lestari Sejahtera,Staff Marketing,Tangerang,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']"
Mitrasindo Printing,Office Boy/Girl,Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Keterampilan & Jasa', 'Kebersihan & Bantuan Operasional']"
RUGONAL,Accounting Staff,Jakarta Utara,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']"
Verena Mia,Consultant Representative,Tangerang,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Supervisor / Coordinator', 'Sales / Penjualan', 'Konsultan Penjualan']"
PT Prisma Karya Utama,Staff Administrasi / Tender,Bandung Kota,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']"
PT. LESTARI BARA ABADI,Coal Staff Operational Stockpile (Staff Lapangan),Jakarta Utara,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Pertambangan & Energi', 'Eksplorasi Tambang & Minyak']"
CV.KHARISMA NUSANTARA,Mandarin Interpreter,Gresik,Negosiasi,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Keterampilan & Jasa', 'Penerjemah']"
Penyets.an Frozen,Koki,Bogor,Negosiasi,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Restaurant', 'Koki / Chef']"
PT JINGSHENG TECHNOLOGY JAKARTA,Content Monitor,Jakarta Barat,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Supervisor / Coordinator', 'Marketing / Pemasaran', 'Content Marketing']"
CV.KHARISMA NUSANTARA,Accounting,Gresik,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']"
CV.KHARISMA NUSANTARA,Teknisi Maintenance Mesin,Gresik,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Keterampilan & Jasa', 'Juru Las / Welder']"
PT ZHALOVA KARYA KREATIF,Sales Marketing Staff,Serang,Rp 5 – 6 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']"
Penyets.an Frozen,Staff Produksi (Dapur),Bogor,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Restaurant', 'Cook Helper']"
CV.KHARISMA NUSANTARA,Kepala Produksi,Gresik,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Manager / Assistant Manager', 'Pabrik dan Manufaktur', 'Pengawasan & Manajemen Pabrik']"
PT DARLINGS JAYA INDONESIA,Leader Cook,Jakarta Selatan,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Restaurant', 'Koki / Chef']"
PT DUNIA PEMADAM INDONESIA,Drafter,Jakarta Timur,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Desain & Arsitektur', 'Drafter Arsitektur']"
PT DUNIA PEMADAM INDONESIA,National Sales Manager,Jakarta Timur,Rp 10 – 12 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['6-10 Tahun', 'Manager / Assistant Manager', 'Sales / Penjualan', 'Manajemen Penjualan']"
PT DUNIA PEMADAM INDONESIA,Business Executive,Jakarta Timur,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Pengembangan Bisnis']"
Rusunami CityPark,Staff Engineering,Jakarta Barat,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Teknik', 'Teknik Elektro / Elektronika']"
PT. Mega Indo Prima,Leader Quality Control,Tangerang,Rp 4 – 5 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Pabrik dan Manufaktur', 'Mutu Manufaktur (QC/QA)']"
PT Niagamas Lestari Gemilang,Sales Executive,Jakarta Barat,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
PT Pangestu Suryaning Famili,Teknisi Telekomunikasi,Klaten,Rp 4 – 5 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'IT / Information Technology', 'Telekomunikasi']"
PT ASGI Industrial Indonesia,Sales Engineer,Cikarang,Rp 6 – 7 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
Sehat Subur Shiatsu,Terapis Pijat / Massage Therapist,Palembang,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Kecantikan & Perawatan', 'Spa & Pijat Relaksasi']"
PT. Bintang Lestari Sejahtera,Staff Digital Marketing,Kabupaten Tangerang,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Pemasaran Digital']"
